Date,Nifty(Close),Dow Jones (Close)
01-Dec-21,17166.9,36231.66
02-Dec-21,17401.65,36236.47
03-Dec-21,17196.7,36407.11
06-Dec-21,16912.25,36799.65
07-Dec-21,17176.7,36585.06
08-Dec-21,17469.75,36338.30
09-Dec-21,17516.85,36398.08
10-Dec-21,17511.3,36488.63
13-Dec-21,17368.25,36398.21
14-Dec-21,17324.9,36302.38
15-Dec-21,17221.4,35950.00
16-Dec-21,17248.4,35950.56
17-Dec-21,16985.2,35753.89
20-Dec-21,16614.2,35492.70
21-Dec-21,16770.85,34932.16
22-Dec-21,16955.45,35365.44
23-Dec-21,17072.6,35897.64
24-Dec-21,17003.75,35927.43
27-Dec-21,17086.25,35544.18
28-Dec-21,17233.25,35650.95
29-Dec-21,17213.6,35970.99
30-Dec-21,17203.95,35754.69
31-Dec-21,17354.05,35754.75
03-Jan-22,17625.7,35719.43
04-Jan-22,17805.25,35227.03
05-Jan-22,17925.25,34580.08
06-Jan-22,17745.9,34639.79
07-Jan-22,17812.7,34022.04
